member_id,Age,Gender,Plan_Type,Join_Date,Last_Date,Monthly_Fee,PT_Opted,Status,Total_Revenue,Group_Stage,Member_type,Month,,,,
10001,24,M,Monthly,03-12-2025,05-01-2026,1200,No,Active,1200,18-24,Safe,Dec-25,,,,
10002,37,M,Yearly,04-07-2025,10-01-2026,1300,Yes,Active,15600,35+,Safe,Jul-25,,,,
10003,32,M,Monthly,07-05-2025,08-01-2026,1700,Yes,Active,1700,25-34,Safe,May-25,,,,
10004,28,M,Yearly,22-12-2024,20-09-2025,800,No,Inactive,9600,25-34,High Risk,Dec-24,,,,
10005,25,M,Quarterly,29-02-2024,23-09-2025,1000,No,Inactive,3000,25-34,High Risk,Feb-24,,,,
10006,38,F,Yearly,03-09-2024,18-11-2025,800,No,Inactive,9600,35+,High Risk,Sep-24,,,,
10007,24,M,Quarterly,14-12-2024,01-01-2026,1000,No,Active,3000,18-24,Safe,Dec-24,,,,
10008,43,M,Quarterly,19-06-2025,26-12-2025,1500,Yes,Active,4500,35+,Safe,Jun-25,,,,
10009,36,M,Monthly,23-10-2025,17-12-2025,1200,No,Active,1200,35+,Safe,Oct-25,,,,
10010,40,F,Yearly,26-02-2025,10-01-2026,1300,Yes,Active,15600,35+,Safe,Feb-25,,,,
10011,28,F,Monthly,21-10-2023,30-12-2025,1200,No,Active,1200,25-34,Safe,Oct-23,,,,
10012,28,M,Quarterly,13-03-2025,31-12-2025,1500,Yes,Active,4500,25-34,Safe,Mar-25,,,,
10013,41,F,Yearly,26-06-2024,31-12-2025,800,No,Active,9600,35+,Safe,Jun-24,,,,
10014,38,M,Quarterly,22-12-2024,04-01-2026,1000,No,Active,3000,35+,Safe,Dec-24,,,,
10015,21,F,Monthly,14-11-2023,07-10-2025,1200,No,Inactive,1200,18-24,High Risk,Nov-23,,,,
10016,25,M,Quarterly,07-01-2024,27-11-2025,1000,No,Inactive,3000,25-34,High Risk,Jan-24,,,,
10017,41,F,Monthly,09-09-2025,24-09-2025,1700,Yes,Inactive,1700,35+,High Risk,Sep-25,,,,
10018,20,M,Quarterly,20-02-2024,02-01-2026,1000,No,Active,3000,18-24,Safe,Feb-24,,,,
10019,39,M,Monthly,29-02-2024,18-12-2025,1200,No,Active,1200,35+,Safe,Feb-24,,,,
10020,38,F,Monthly,19-03-2025,10-01-2026,1700,Yes,Active,1700,35+,Safe,Mar-25,,,,
10021,19,M,Monthly,07-06-2025,03-11-2025,1200,No,Inactive,1200,18-24,High Risk,Jun-25,,,,
10022,41,M,Quarterly,24-12-2024,01-01-2026,1500,Yes,Active,4500,35+,Safe,Dec-24,,,,
10023,29,M,Monthly,04-05-2024,16-09-2025,1200,No,Inactive,1200,25-34,High Risk,May-24,,,,
10024,23,M,Monthly,06-09-2024,24-12-2025,1200,No,Active,1200,18-24,Safe,Sep-24,,,,
10025,19,M,Yearly,19-04-2024,23-12-2025,800,No,Active,9600,18-24,Safe,Apr-24,,,,
10026,45,M,Monthly,14-10-2024,01-11-2025,1700,Yes,Inactive,1700,35+,High Risk,Oct-24,,,,
10027,38,M,Quarterly,10-11-2025,20-10-2025,1500,Yes,Inactive,4500,35+,High Risk,Nov-25,,,,
10028,18,M,Yearly,04-12-2025,09-01-2026,800,No,Active,9600,18-24,Safe,Dec-25,,,,
10029,29,F,Yearly,05-03-2025,27-12-2025,1300,Yes,Active,15600,25-34,Safe,Mar-25,,,,
10030,43,M,Quarterly,30-07-2025,26-12-2025,1500,Yes,Active,4500,35+,Safe,Jul-25,,,,
10031,39,M,Quarterly,12-03-2024,17-09-2025,1000,No,Inactive,3000,35+,High Risk,Mar-24,,,,
10032,29,M,Yearly,26-05-2024,29-10-2025,800,No,Inactive,9600,25-34,High Risk,May-24,,,,
10033,42,M,Monthly,17-11-2023,08-11-2025,1200,No,Inactive,1200,35+,High Risk,Nov-23,,,,
10034,34,F,Yearly,23-10-2024,01-01-2026,800,No,Active,9600,25-34,Safe,Oct-24,,,,
10035,44,M,Monthly,24-09-2025,31-10-2025,1700,Yes,Inactive,1700,35+,High Risk,Sep-25,,,,
10036,44,M,Yearly,14-06-2024,08-01-2026,800,No,Active,9600,35+,Safe,Jun-24,,,,
10037,27,F,Monthly,11-01-2024,03-11-2025,1700,Yes,Inactive,1700,25-34,High Risk,Jan-24,,,,
10038,45,F,Quarterly,24-11-2025,18-10-2025,1000,No,Inactive,3000,35+,High Risk,Nov-25,,,,
10039,45,M,Monthly,15-08-2023,03-10-2025,1200,No,Inactive,1200,35+,High Risk,Aug-23,,,,
10040,33,F,Quarterly,07-07-2024,17-11-2025,1000,No,Inactive,3000,25-34,High Risk,Jul-24,,,,
